Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,53.560001,58.349998,53.459999,57.820000,56.094143,29558100
2016-04-01,57.419998,59.189999,55.389999,55.830002,54.300716,26164600
2016-05-01,55.910000,58.790001,54.939999,58.720001,57.111549,23013400
2016-06-01,58.439999,60.169998,55.130001,57.330002,55.759632,28066700
2016-07-01,57.330002,60.500000,55.360001,59.520000,58.025085,27165500
2016-08-01,59.480000,62.450001,58.560001,62.310001,60.745003,22752300
2016-09-01,62.169998,65.769997,60.970001,64.919998,63.289452,30528700
2016-10-01,64.680000,66.779999,62.639999,65.930000,64.417480,30573300
2016-11-01,66.099998,69.190002,64.730003,68.260002,66.694031,26282800
2016-12-01,68.230003,68.949997,66.349998,67.199997,65.658348,24328400
2017-01-01,67.570000,69.250000,66.260002,67.489998,66.095337,23118900
2017-02-01,67.519997,70.260002,66.000000,69.209999,67.779793,25093600
2017-03-01,69.550003,71.980003,69.500000,71.169998,69.699295,24476400
2017-04-01,71.070000,73.750000,68.570000,72.309998,70.973747,21058900
2017-05-01,72.580002,75.150002,70.900002,74.599998,73.221443,22546200
2017-06-01,74.959999,76.669998,73.260002,73.820000,72.455856,25886400
2017-07-01,74.290001,77.470001,72.349998,76.620003,75.362900,22692700
2017-08-01,77.769997,81.129997,76.800003,80.940002,79.612015,26790900
2017-09-01,80.980003,84.870003,79.860001,84.639999,83.251312,19147500
2017-10-01,84.750000,88.190002,84.379997,87.000000,85.770813,26462500
2017-11-01,87.550003,91.260002,86.139999,90.589996,89.310097,26853500
2017-12-01,90.660004,90.739998,87.400002,87.800003,86.559517,21930200
2018-01-01,88.470001,93.620003,87.500000,92.769997,91.654449,30861300
2018-02-01,91.400002,93.529999,82.150002,91.389999,90.291046,28652700
2018-03-01,91.150002,93.500000,83.959999,86.129997,85.094299,23259800
2018-04-01,86.129997,87.669998,80.419998,83.709999,82.874657,30061900
2018-05-01,83.349998,89.199997,82.769997,86.930000,86.062515,26087000
2018-06-01,87.570000,91.970001,85.559998,87.150002,86.280327,26570900
2018-07-01,86.550003,95.900002,85.550003,93.510002,92.810921,23899000
2018-08-01,93.510002,95.599998,92.800003,94.580002,93.872925,26806100
2018-09-01,94.650002,97.559998,93.099998,94.019997,93.317101,24946200
2018-10-01,94.470001,94.940002,80.870003,89.500000,89.042053,45536200
2018-11-01,89.519997,92.389999,83.699997,87.940002,87.490028,33150100
2018-12-01,89.400002,89.980003,75.120003,81.019997,80.605438,33587400
2019-01-01,79.680000,88.370003,74.949997,87.919998,87.708076,33584300
2019-02-01,87.989998,95.379997,87.470001,93.970001,93.743492,20185900
2019-03-01,94.660004,97.000000,92.360001,94.440002,94.212364,19695200
