Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,128.690002,135.110001,125.260002,131.679993,125.844246,71179600
2016-05-01,132.610001,134.750000,128.529999,133.669998,127.746094,55516300
2016-06-01,133.580002,141.309998,133.020004,141.199997,134.942352,76389400
2016-07-01,141.160004,144.479996,139.320007,143.199997,137.476929,71139500
2016-08-01,143.419998,144.160004,135.550003,136.050003,130.612717,50465800
2016-09-01,136.820007,141.779999,132.389999,140.000000,134.404831,67488300
2016-10-01,139.350006,146.360001,133.029999,141.330002,136.308228,81589600
2016-11-01,141.509995,159.759995,136.220001,158.320007,152.694550,95781400
2016-12-01,159.119995,164.000000,156.229996,160.039993,154.968018,76132500
2017-01-01,161.130005,163.800003,156.089996,162.100006,156.962753,72733900
2017-02-01,162.750000,166.759995,156.490005,165.380005,160.138794,72701100
2017-03-01,166.720001,172.139999,162.740005,164.009995,158.812210,84728500
2017-04-01,164.619995,176.070007,164.250000,174.880005,169.968903,61864100
2017-05-01,175.000000,178.889999,166.649994,175.179993,170.260468,63390800
2017-06-01,175.779999,188.660004,175.190002,185.419998,180.212891,65404200
2017-07-01,186.289993,193.000000,183.860001,191.809998,187.193344,55903600
2017-08-01,193.399994,199.490005,190.630005,198.899994,194.112686,50893600
2017-09-01,199.789993,200.759995,188.250000,195.850006,191.136108,57668800
2017-10-01,196.589996,212.770004,186.000000,210.220001,205.938812,81206400
2017-11-01,211.619995,228.750000,208.919998,228.169998,223.523239,51000600
2017-12-01,228.889999,231.770004,218.190002,220.460007,216.699478,55743700
2018-01-01,221.020004,250.789993,220.000000,236.779999,232.741089,82276500
2018-02-01,235.259995,237.820007,208.479996,226.160004,222.302246,80192600
2018-03-01,225.699997,231.270004,212.500000,214.000000,210.349655,79400300
2018-04-01,218.460007,241.669998,214.630005,236.399994,233.136932,72689800
2018-05-01,237.000000,249.169998,228.229996,241.509995,238.176376,59232800
2018-06-01,243.740005,256.730011,241.289993,245.339996,241.953522,55299900
2018-07-01,245.000000,259.010010,244.119995,253.220001,250.608109,49156400
2018-08-01,256.100006,270.170013,252.229996,268.459991,265.690887,47631000
2018-09-01,268.000000,271.160004,257.480011,266.040009,263.295898,53229200
2018-10-01,267.250000,272.809998,253.320007,261.350006,259.526978,84593100
2018-11-01,262.920013,285.450012,258.279999,281.359985,279.397369,74853800
2018-12-01,283.000000,287.940002,231.809998,249.119995,248.172760,88902900
2019-01-01,245.000000,272.440002,236.130005,270.200012,269.172638,82834700
2019-02-01,268.470001,272.489990,239.149994,242.220001,241.299011,77371500
2019-03-01,243.559998,259.250000,234.509995,247.259995,246.319839,101319000
