Date,Open,High,Low,Close,Adj Close,Volume
2014-09-01,45.389999,47.419998,44.720001,44.900002,39.345398,28696300
2014-10-01,45.000000,46.320000,40.180000,44.040001,38.591793,52784400
2014-11-01,43.990002,45.610001,43.820000,45.200001,39.842155,30743300
2014-12-01,45.049999,48.430000,44.169998,47.560001,41.922409,34471100
2015-01-01,47.849998,48.340000,43.720001,44.400002,39.136993,44103200
2015-02-01,44.430000,45.810001,40.980000,41.549999,36.852093,64170900
2015-03-01,41.500000,43.500000,39.459999,41.439999,36.754528,91407400
2015-04-01,41.290001,43.400002,39.790001,42.619999,37.801125,74202600
2015-05-01,42.709999,43.419998,41.250000,41.509998,37.063290,36896300
2015-06-01,42.230000,43.500000,41.299999,42.180000,37.661526,32394500
2015-07-01,42.380001,42.880001,39.730000,41.860001,37.375809,56579400
2015-08-01,41.759998,41.959999,36.910000,38.540001,34.651615,55405000
2015-09-01,37.840000,39.240002,35.869999,36.610001,32.916336,51518500
2015-10-01,36.779999,39.389999,34.450001,39.160000,35.209061,71184900
2015-11-01,39.180000,41.639999,38.459999,40.580002,36.752949,47769900
2015-12-01,40.820000,41.959999,38.439999,40.820000,36.970310,53855500
2016-01-01,40.240002,40.560001,35.099998,40.560001,36.734833,86660500
2016-02-01,42.200001,45.700001,38.480000,45.290001,41.344994,74999400
2016-03-01,45.740002,49.990002,44.709999,49.000000,44.731834,59291600
2016-04-01,48.299999,48.959999,45.000000,46.790001,42.714333,65942300
2016-05-01,46.930000,47.040001,44.099998,46.029999,42.298939,49366700
2016-06-01,46.000000,46.599998,42.180000,44.389999,40.791874,53810400
2016-07-01,44.330002,45.830002,41.470001,42.750000,39.284805,71555600
2016-08-01,42.779999,44.570000,41.650002,43.110001,39.901730,38265000
2016-09-01,43.250000,43.599998,39.849998,41.779999,38.670712,49951800
2016-10-01,41.580002,42.790001,37.700001,38.980000,36.079090,58155000
2016-11-01,39.080002,47.889999,38.090000,47.400002,44.214241,61094200
2016-12-01,47.509998,49.310001,46.660000,46.980000,43.822460,51925000
2017-01-01,47.400002,51.560001,46.099998,49.680000,46.341000,62327200
2017-02-01,49.849998,51.240002,48.689999,50.029999,46.967045,32441000
2017-03-01,50.560001,52.639999,49.509998,51.500000,48.347054,45309100
2017-04-01,51.180000,52.740002,44.230000,44.680000,41.944584,73020600
2017-05-01,44.869999,46.599998,41.910000,43.169998,40.812553,64249300
2017-06-01,43.270000,45.830002,41.869999,43.529999,41.152897,69595300
2017-07-01,43.209999,46.599998,41.060001,42.959999,40.614025,90980600
2017-08-01,43.090000,43.950001,39.790001,42.669998,40.646553,58146500
2017-09-01,42.889999,46.150002,40.759998,45.580002,43.418564,47112600
2017-10-01,45.680000,48.970001,42.509998,46.970001,44.742649,65192300
2017-11-01,47.230000,52.889999,46.400002,52.389999,50.234226,37648400
2017-12-01,52.169998,55.450001,50.919998,54.689999,52.439587,43136900
2018-01-01,55.130001,57.820000,51.500000,54.959999,52.698471,68263100
2018-02-01,54.580002,56.509998,51.330002,54.720001,52.814396,47891300
2018-03-01,54.700001,58.740002,52.500000,54.590000,52.688927,53086400
2018-04-01,54.049999,56.029999,48.520000,49.990002,48.249119,78440000
2018-05-01,50.029999,53.970001,48.189999,53.230000,51.756470,45510700
2018-06-01,53.570000,54.959999,48.099998,48.130001,46.797649,52182400
2018-07-01,47.599998,58.470001,47.369999,56.930000,55.354042,91179000
2018-08-01,56.880001,61.139999,55.150002,58.360001,57.139202,43885800
2018-09-01,58.049999,59.549999,56.770000,58.020000,56.806316,38811600
2018-10-01,58.430000,58.720001,48.009998,51.410000,50.334587,91194900
2018-11-01,51.630001,59.840000,50.680000,59.259998,58.474186,74446300
2018-12-01,60.000000,60.450001,49.209999,52.290001,51.596619,52134700
2019-01-01,51.310001,60.860001,49.689999,60.459999,59.658276,72002600
2019-02-01,60.730000,63.720001,59.810001,62.939999,62.553917,40741500
2019-03-01,63.369999,64.540001,60.580002,64.309998,63.915516,34663600
